p_id,category_name,p_source_id,title,price,brand,rating,reviews_quantity,cpu,cpu_rate,hertz,cores,gpu,gpu_rate,ram,ram_type,ssd,drive_size,url
5618,desktops,100010151,PULSER Standard 56 черный,139405,PULSER,9,0,intel core i3 8100,64,3600,4,intel uhd 630,20,8,,false,1000,https://kaspi.kz/shop/p/pulser-standard-56-chernyi-100010151/?c=750000000
5623,desktops,100011587,Lenovo V530-24ICB 10UW00E4RU черный,324481,Lenovo,0,0,intel core i5 9400t,64,1800,6,intel uhd 630,20,8,,true,256,https://kaspi.kz/shop/p/lenovo-v530-24icb-10uw00e4ru-chernyi-100011587/?c=750000000
5685,desktops,1480649,Acer Aspire C27-865 DQ.BCPMC.001 серебристый,349900,Acer,0,0,intel core i3 8130u,59,2200,2,intel uhd graphics 620 + nvidia geforce mx130,42,4,,false,1000,https://kaspi.kz/shop/p/acer-aspire-c27-865-dq-bcpmc-001-serebristyi-1480649/?c=750000000
5709,desktops,100083683,Lenovo IdeaCentre A340-24IWL F0E800FJRK черный,309900,Lenovo,10,1,8265u,66,1600,4,intel hd graphics 620,20,4,,false,1000,https://kaspi.kz/shop/p/lenovo-ideacentre-a340-24iwl-f0e800fjrk-chernyi-100083683/?c=750000000
5733,desktops,100129348,PULSER Extreme 13 черный,719990,PULSER,0,0,amd ryzen 7 3700x,69,3600,8,geforce rtx 2070 super,87,6,,true,1480,https://kaspi.kz/shop/p/pulser-extreme-13-chernyi-100129348/?c=750000000
5746,desktops,100162861,HP Pro One 440 G5 7EM68EA черный,452900,HP,0,0,intel core i7 9700t,68,2000,8,intel uhd graphics 630,21,8,,false,1000,https://kaspi.kz/shop/p/hp-pro-one-440-g5-7em68ea-chernyi-100162861/?c=750000000
5766,desktops,1480600,Acer ASPIRE C22-865 DQ.BBRMC.001 серебристый,228290,Acer,8,2,intel core i3 8130u,59,2200,2,intel uhd graphics 620,20,4,,false,1000,https://kaspi.kz/shop/p/acer-aspire-c22-865-dq-bbrmc-001-serebristyi-1480600/?c=750000000
5778,desktops,1480685,Acer Veriton ES2730G DT.VS2MC.025 черный,239900,Acer,0,0,intel core i3 8100,64,3600,4,intel uhd graphics 630,21,4,,,1000,https://kaspi.kz/shop/p/acer-veriton-es2730g-dt-vs2mc-025-chernyi-1480685/?c=750000000
5784,desktops,100022221,DELL Vostro 3670 MT 210-AOKE-56372 черный,179900,DELL,0,0,intel core i3-9100,67,3600,4,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/dell-vostro-3670-mt-210-aoke-56372-chernyi-100022221/?c=750000000
5786,desktops,1480655,DELL Vostro 3670 MT 210-AOKE_N204 черный,216100,DELL,0,0,intel core i3 8100,64,3600,4,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/dell-vostro-3670-mt-210-aoke-n204-chernyi-1480655/?c=750000000
5795,desktops,100112968,HP All-in-One 24-f0188ur белый,279900,HP,7,2,intel core i3 9100t,66,3100,4,nvidia geforce mx 110,41,4,,false,1000,https://kaspi.kz/shop/p/hp-all-in-one-24-f0188ur-belyi-100112968/?c=750000000
5845,desktops,1480702,Smart Amphion Costum Edition белый,692750,Smart,0,0,intel core i5 9600k,73,,,rtx 2070,78,8,,true,480,https://kaspi.kz/shop/p/smart-amphion-costum-edition-belyi-1480702/?c=750000000
5869,desktops,1480479,Smart Orthrus Pro черный,430650,Smart,0,0,intel core i7 8700,71,3200,6,geforce gtx 1060,63,8,,true,1240,https://kaspi.kz/shop/p/smart-orthrus-pro-chernyi-1480479/?c=750000000
